dep;clage_vacsi;jour;n_dose1;n_cum_dose1
01;0;2021-01-06;1;1
01;0;2021-01-07;65;66
01;0;2021-01-08;159;225
01;0;2021-01-09;2;227
01;0;2021-01-11;134;361
01;0;2021-01-12;273;634
01;0;2021-01-13;416;1050
01;0;2021-01-14;465;1515
01;0;2021-01-15;388;1903
01;0;2021-01-16;197;2100
01;0;2021-01-17;125;2225
01;0;2021-01-18;337;2562
01;0;2021-01-19;950;3512
01;0;2021-01-20;1163;4675
01;0;2021-01-21;985;5660
01;0;2021-01-22;634;6294
01;0;2021-01-23;221;6515
01;0;2021-01-24;68;6583
01;0;2021-01-25;460;7043
01;0;2021-01-26;696;7739
01;0;2021-01-27;450;8189
01;24;2021-01-15;1;1
01;24;2021-01-16;3;4
01;24;2021-01-20;3;7
01;24;2021-01-21;1;8
01;24;2021-01-22;3;11
01;24;2021-01-26;1;12
01;24;2021-01-27;4;16
01;29;2021-01-11;2;2
01;29;2021-01-12;4;6
01;29;2021-01-13;2;8
01;29;2021-01-14;4;12
01;29;2021-01-15;2;14
01;29;2021-01-16;2;16
01;29;2021-01-17;1;17
01;29;2021-01-18;1;18
01;29;2021-01-19;3;21
01;29;2021-01-20;6;27
01;29;2021-01-21;5;32
01;29;2021-01-22;7;39
01;29;2021-01-26;5;44
01;29;2021-01-27;1;45
01;39;2021-01-08;1;1
01;39;2021-01-11;9;10
01;39;2021-01-12;14;24
01;39;2021-01-13;17;41
01;39;2021-01-14;15;56
01;39;2021-01-15;24;80
01;39;2021-01-16;8;88
01;39;2021-01-17;2;90
01;39;2021-01-18;4;94
01;39;2021-01-19;10;104
01;39;2021-01-20;20;124
01;39;2021-01-21;20;144
01;39;2021-01-22;21;165
01;39;2021-01-23;1;166
01;39;2021-01-26;9;175
01;39;2021-01-27;5;180
01;49;2021-01-07;1;1
01;49;2021-01-08;5;6
01;49;2021-01-11;18;24
01;49;2021-01-12;30;54
01;49;2021-01-13;31;85
01;49;2021-01-14;32;117
01;49;2021-01-15;40;157
01;49;2021-01-16;11;168
01;49;2021-01-17;4;172
01;49;2021-01-18;8;180
01;49;2021-01-19;18;198
01;49;2021-01-20;51;249
01;49;2021-01-21;36;285
01;49;2021-01-22;19;304
01;49;2021-01-23;4;308
01;49;2021-01-24;3;311
01;49;2021-01-25;10;321
01;49;2021-01-26;23;344
01;49;2021-01-27;16;360
01;59;2021-01-06;1;1
01;59;2021-01-07;15;16
01;59;2021-01-08;27;43
01;59;2021-01-11;44;87
01;59;2021-01-12;109;196
01;59;2021-01-13;138;334
01;59;2021-01-14;186;520
01;59;2021-01-15;121;641
01;59;2021-01-16;30;671
01;59;2021-01-17;58;729
01;59;2021-01-18;49;778
01;59;2021-01-19;126;904
01;59;2021-01-20;191;1095
01;59;2021-01-21;79;1174
01;59;2021-01-22;81;1255
01;59;2021-01-23;5;1260
01;59;2021-01-24;6;1266
01;59;2021-01-25;31;1297
01;59;2021-01-26;35;1332
01;59;2021-01-27;39;1371
01;64;2021-01-07;8;8
01;64;2021-01-08;9;17
01;64;2021-01-11;15;32
01;64;2021-01-12;35;67
01;64;2021-01-13;47;114
01;64;2021-01-14;62;176
01;64;2021-01-15;45;221
01;64;2021-01-16;12;233
01;64;2021-01-17;23;256
01;64;2021-01-18;27;283
01;64;2021-01-19;53;336
01;64;2021-01-20;49;385
01;64;2021-01-21;42;427
01;64;2021-01-22;43;470
01;64;2021-01-23;2;472
01;64;2021-01-24;1;473
01;64;2021-01-25;13;486
01;64;2021-01-26;36;522
01;64;2021-01-27;11;533
01;69;2021-01-07;2;2
01;69;2021-01-08;6;8
01;69;2021-01-11;8;16
01;69;2021-01-12;14;30
01;69;2021-01-13;29;59
01;69;2021-01-14;25;84
01;69;2021-01-15;27;111
01;69;2021-01-16;6;117
01;69;2021-01-17;13;130
01;69;2021-01-18;10;140
01;69;2021-01-19;26;166
01;69;2021-01-20;31;197
01;69;2021-01-21;27;224
01;69;2021-01-22;24;248
01;69;2021-01-24;1;249
01;69;2021-01-25;21;270
01;69;2021-01-26;26;296
01;69;2021-01-27;19;315
01;74;2021-01-07;4;4
01;74;2021-01-08;12;16
01;74;2021-01-11;4;20
01;74;2021-01-12;14;34
01;74;2021-01-13;24;58
01;74;2021-01-14;28;86
01;74;2021-01-15;14;100
01;74;2021-01-16;12;112
01;74;2021-01-17;12;124
01;74;2021-01-18;15;139
01;74;2021-01-19;35;174
01;74;2021-01-20;38;212
01;74;2021-01-21;30;242
01;74;2021-01-22;24;266
01;74;2021-01-23;3;269
01;74;2021-01-24;4;273
01;74;2021-01-25;27;300
01;74;2021-01-26;29;329
01;74;2021-01-27;18;347
01;79;2021-01-08;13;13
01;79;2021-01-09;1;14
01;79;2021-01-11;2;16
01;79;2021-01-12;12;28
01;79;2021-01-13;34;62
01;79;2021-01-14;28;90
01;79;2021-01-15;37;127
01;79;2021-01-16;45;172
01;79;2021-01-17;8;180
01;79;2021-01-18;116;296
01;79;2021-01-19;177;473
01;79;2021-01-20;186;659
01;79;2021-01-21;169;828
01;79;2021-01-22;140;968
01;79;2021-01-23;97;1065
01;79;2021-01-24;21;1086
01;79;2021-01-25;143;1229
01;79;2021-01-26;172;1401
01;79;2021-01-27;118;1519
01;80;2021-01-07;35;35
01;80;2021-01-08;86;121
01;80;2021-01-09;1;122
01;80;2021-01-11;32;154
01;80;2021-01-12;41;195
01;80;2021-01-13;94;289
01;80;2021-01-14;85;374
01;80;2021-01-15;77;451
01;80;2021-01-16;68;519
01;80;2021-01-17;4;523
01;80;2021-01-18;107;630
01;80;2021-01-19;502;1132
01;80;2021-01-20;588;1720
01;80;2021-01-21;576;2296
01;80;2021-01-22;272;2568
01;80;2021-01-23;109;2677
01;80;2021-01-24;32;2709
