fra;clage_vacsi;jour;n_dose1;n_cum_dose1
FR;24;2021-01-03;1;1
FR;24;2021-01-04;3;4
FR;24;2021-01-05;8;12
FR;24;2021-01-06;21;33
FR;24;2021-01-07;108;141
FR;24;2021-01-08;124;265
FR;24;2021-01-09;28;293
FR;24;2021-01-10;23;316
FR;24;2021-01-11;138;454
FR;24;2021-01-12;190;644
FR;24;2021-01-13;261;905
FR;24;2021-01-14;352;1257
FR;24;2021-01-15;323;1580
FR;24;2021-01-16;79;1659
FR;24;2021-01-17;58;1717
FR;24;2021-01-18;261;1978
FR;24;2021-01-19;382;2360
FR;24;2021-01-20;407;2767
FR;24;2021-01-21;470;3237
FR;24;2021-01-22;396;3633
FR;24;2021-01-23;74;3707
FR;24;2021-01-24;16;3723
FR;24;2021-01-25;204;3927
FR;24;2021-01-26;205;4132
FR;24;2021-01-27;274;4406
FR;29;2020-12-28;1;1
FR;29;2021-01-02;1;2
FR;29;2021-01-03;2;4
FR;29;2021-01-04;7;11
FR;29;2021-01-05;33;44
FR;29;2021-01-06;108;152
FR;29;2021-01-07;255;407
FR;29;2021-01-08;408;815
FR;29;2021-01-09;95;910
FR;29;2021-01-10;79;989
FR;29;2021-01-11;454;1443
FR;29;2021-01-12;637;2080
FR;29;2021-01-13;907;2987
FR;29;2021-01-14;1199;4186
FR;29;2021-01-15;1003;5189
FR;29;2021-01-16;152;5341
FR;29;2021-01-17;105;5446
FR;29;2021-01-18;846;6292
FR;29;2021-01-19;900;7192
FR;29;2021-01-20;941;8133
FR;29;2021-01-21;1092;9225
FR;29;2021-01-22;925;10150
FR;29;2021-01-23;157;10307
FR;29;2021-01-24;37;10344
FR;29;2021-01-25;425;10769
FR;29;2021-01-26;497;11266
FR;29;2021-01-27;535;11801
FR;39;2020-12-29;1;1
FR;39;2020-12-31;1;2
FR;39;2021-01-03;2;4
FR;39;2021-01-04;21;25
FR;39;2021-01-05;114;139
FR;39;2021-01-06;338;477
FR;39;2021-01-07;975;1452
FR;39;2021-01-08;1439;2891
FR;39;2021-01-09;410;3301
FR;39;2021-01-10;266;3567
FR;39;2021-01-11;1655;5222
FR;39;2021-01-12;2562;7784
FR;39;2021-01-13;2765;10549
FR;39;2021-01-14;3886;14435
FR;39;2021-01-15;3450;17885
FR;39;2021-01-16;659;18544
FR;39;2021-01-17;452;18996
FR;39;2021-01-18;2517;21513
FR;39;2021-01-19;3331;24844
FR;39;2021-01-20;3274;28118
FR;39;2021-01-21;4138;32256
FR;39;2021-01-22;3204;35460
FR;39;2021-01-23;513;35973
FR;39;2021-01-24;153;36126
FR;39;2021-01-25;1324;37450
FR;39;2021-01-26;1706;39156
FR;39;2021-01-27;1768;40924
FR;49;2020-12-30;1;1
FR;49;2021-01-01;1;2
FR;49;2021-01-02;5;7
FR;49;2021-01-03;2;9
FR;49;2021-01-04;64;73
FR;49;2021-01-05;231;304
FR;49;2021-01-06;620;924
FR;49;2021-01-07;1690;2614
FR;49;2021-01-08;2598;5212
FR;49;2021-01-09;833;6045
FR;49;2021-01-10;400;6445
FR;49;2021-01-11;3127;9572
FR;49;2021-01-12;4417;13989
FR;49;2021-01-13;4647;18636
FR;49;2021-01-14;6614;25250
FR;49;2021-01-15;6017;31267
FR;49;2021-01-16;1139;32406
FR;49;2021-01-17;513;32919
FR;49;2021-01-18;4048;36967
FR;49;2021-01-19;5496;42463
FR;49;2021-01-20;5322;47785
FR;49;2021-01-21;6724;54509
FR;49;2021-01-22;5168;59677
FR;49;2021-01-23;818;60495
FR;49;2021-01-24;247;60742
FR;49;2021-01-25;2085;62827
FR;49;2021-01-26;2840;65667
FR;49;2021-01-27;2939;68606
FR;59;2020-12-28;1;1
FR;59;2020-12-29;1;2
FR;59;2020-12-30;3;5
FR;59;2020-12-31;7;12
FR;59;2021-01-01;6;18
FR;59;2021-01-02;20;38
FR;59;2021-01-03;25;63
FR;59;2021-01-04;508;571
FR;59;2021-01-05;1787;2358
FR;59;2021-01-06;4055;6413
FR;59;2021-01-07;8828;15241
FR;59;2021-01-08;11869;27110
FR;59;2021-01-09;3558;30668
FR;59;2021-01-10;1754;32422
FR;59;2021-01-11;13064;45486
FR;59;2021-01-12;17486;62972
FR;59;2021-01-13;18863;81835
FR;59;2021-01-14;20814;102649
FR;59;2021-01-15;17810;120459
FR;59;2021-01-16;4682;125141
FR;59;2021-01-17;1515;126656
FR;59;2021-01-18;11547;138203
FR;59;2021-01-19;15189;153392
FR;59;2021-01-20;14385;167777
FR;59;2021-01-21;15752;183529
FR;59;2021-01-22;11825;195354
FR;59;2021-01-23;2488;197842
FR;59;2021-01-24;653;198495
FR;59;2021-01-25;5578;204073
FR;59;2021-01-26;6985;211058
FR;59;2021-01-27;7016;218074
FR;64;2020-12-27;1;1
FR;64;2020-12-30;5;6
FR;64;2020-12-31;5;11
FR;64;2021-01-01;1;12
FR;64;2021-01-02;8;20
FR;64;2021-01-03;19;39
FR;64;2021-01-04;223;262
FR;64;2021-01-05;868;1130
FR;64;2021-01-06;1720;2850
FR;64;2021-01-07;3680;6530
FR;64;2021-01-08;4847;11377
FR;64;2021-01-09;1937;13314
FR;64;2021-01-10;995;14309
FR;64;2021-01-11;5146;19455
FR;64;2021-01-12;7052;26507
FR;64;2021-01-13;7457;33964
FR;64;2021-01-14;8318;42282
FR;64;2021-01-15;6959;49241
FR;64;2021-01-16;2160;51401
FR;64;2021-01-17;782;52183
FR;64;2021-01-18;4582;56765
FR;64;2021-01-19;6339;63104
FR;64;2021-01-20;5970;69074
FR;64;2021-01-21;6604;75678
FR;64;2021-01-22;5250;80928
FR;64;2021-01-23;1338;82266
FR;64;2021-01-24;361;82627
FR;64;2021-01-25;2659;85286
FR;64;2021-01-26;3232;88518
FR;64;2021-01-27;3342;91860
FR;69;2020-12-27;2;2
FR;69;2020-12-28;1;3
FR;69;2020-12-29;2;5
FR;69;2020-12-30;6;11
FR;69;2020-12-31;3;14
FR;69;2021-01-01;1;15
FR;69;2021-01-02;4;19
FR;69;2021-01-03;9;28
FR;69;2021-01-04;117;145
FR;69;2021-01-05;438;583
FR;69;2021-01-06;809;1392
FR;69;2021-01-07;1906;3298
FR;69;2021-01-08;2397;5695
FR;69;2021-01-09;1159;6854
FR;69;2021-01-10;657;7511
FR;69;2021-01-11;2551;10062
FR;69;2021-01-12;3535;13597
FR;69;2021-01-13;3619;17216
FR;69;2021-01-14;4330;21546
FR;69;2021-01-15;3513;25059
FR;69;2021-01-16;1277;26336
FR;69;2021-01-17;562;26898
FR;69;2021-01-18;2908;29806
FR;69;2021-01-19;4299;34105
FR;69;2021-01-20;4109;38214
FR;69;2021-01-21;4805;43019
FR;69;2021-01-22;3862;46881
FR;69;2021-01-23;1176;48057
FR;69;2021-01-24;375;48432
FR;69;2021-01-25;2342;50774
FR;69;2021-01-26;2729;53503
FR;69;2021-01-27;2925;56428
FR;74;2020-12-28;3;3
FR;74;2020-12-29;2;5
FR;74;2020-12-30;8;13
FR;74;2020-12-31;5;18
FR;74;2021-01-02;3;21
FR;74;2021-01-03;12;33
FR;74;2021-01-04;88;121
FR;74;2021-01-05;269;390
FR;74;2021-01-06;529;919
FR;74;2021-01-07;1319;2238
FR;74;2021-01-08;1626;3864
FR;74;2021-01-09;746;4610
FR;74;2021-01-10;531;5141
FR;74;2021-01-11;1794;6935
FR;74;2021-01-12;2703;9638
FR;74;2021-01-13;2790;12428
FR;74;2021-01-14;3349;15777
FR;74;2021-01-15;2885;18662
FR;74;2021-01-16;1003;19665
FR;74;2021-01-17;592;20257
FR;74;2021-01-18;3345;23602
FR;74;2021-01-19;5170;28772
FR;74;2021-01-20;5262;34034
FR;74;2021-01-21;6239;40273
FR;74;2021-01-22;4947;45220
FR;74;2021-01-23;1606;46826
FR;74;2021-01-24;480;47306
FR;74;2021-01-25;3269;50575
FR;74;2021-01-26;4034;54609
FR;74;2021-01-27;4166;58775
FR;79;2020-12-27;1;1
FR;79;2020-12-28;3;4
FR;79;2020-12-29;10;14
FR;79;2020-12-30;9;23
FR;79;2020-12-31;6;29
FR;79;2021-01-02;1;30
FR;79;2021-01-03;1;31
FR;79;2021-01-04;49;80
FR;79;2021-01-05;181;261
FR;79;2021-01-06;330;591
FR;79;2021-01-07;870;1461
FR;79;2021-01-08;1054;2515
FR;79;2021-01-09;393;2908
FR;79;2021-01-10;227;3135
FR;79;2021-01-11;1010;4145
FR;79;2021-01-12;2056;6201
FR;79;2021-01-13;2507;8708
FR;79;2021-01-14;3716;12424
FR;79;2021-01-15;4262;16686
FR;79;2021-01-16;2253;18939
FR;79;2021-01-17;1128;20067
FR;79;2021-01-18;16685;36752
FR;79;2021-01-19;22249;59001
FR;79;2021-01-20;23679;82680
FR;79;2021-01-21;25624;108304
FR;79;2021-01-22;23801;132105
FR;79;2021-01-23;10003;142108
FR;79;2021-01-24;1938;144046
FR;79;2021-01-25;19156;163202
FR;79;2021-01-26;21938;185140
FR;79;2021-01-27;21078;206218
FR;80;2020-12-27;9;9
FR;80;2020-12-28;29;38
FR;80;2020-12-29;48;86
FR;80;2020-12-30;56;142
FR;80;2020-12-31;51;193
FR;80;2021-01-03;1;194
FR;80;2021-01-04;264;458
FR;80;2021-01-05;905;1363
FR;80;2021-01-06;1584;2947
FR;80;2021-01-07;5851;8798
FR;80;2021-01-08;5120;13918
FR;80;2021-01-09;964;14882
FR;80;2021-01-10;299;15181
