reg;clage_vacsi;jour;n_dose1;n_cum_dose1
01;0;2021-01-12;20;20
01;0;2021-01-13;6;26
01;0;2021-01-14;24;50
01;0;2021-01-15;24;74
01;0;2021-01-18;29;103
01;0;2021-01-19;48;151
01;0;2021-01-20;42;193
01;0;2021-01-21;56;249
01;0;2021-01-22;35;284
01;0;2021-01-25;68;352
01;0;2021-01-26;61;413
01;0;2021-01-27;109;522
01;29;2021-01-27;1;1
01;39;2021-01-12;1;1
01;39;2021-01-18;1;2
01;39;2021-01-22;3;5
01;39;2021-01-27;4;9
01;49;2021-01-14;1;1
01;49;2021-01-20;1;2
01;49;2021-01-21;1;3
01;49;2021-01-22;2;5
01;49;2021-01-25;2;7
01;49;2021-01-26;2;9
01;49;2021-01-27;3;12
01;59;2021-01-12;8;8
01;59;2021-01-14;9;17
01;59;2021-01-15;11;28
01;59;2021-01-18;10;38
01;59;2021-01-19;15;53
01;59;2021-01-20;8;61
01;59;2021-01-21;18;79
01;59;2021-01-22;8;87
01;59;2021-01-25;7;94
01;59;2021-01-26;9;103
01;59;2021-01-27;8;111
01;64;2021-01-12;8;8
01;64;2021-01-14;9;17
01;64;2021-01-15;4;21
01;64;2021-01-18;4;25
01;64;2021-01-19;7;32
01;64;2021-01-20;9;41
01;64;2021-01-21;6;47
01;64;2021-01-22;4;51
01;64;2021-01-25;2;53
01;64;2021-01-26;2;55
01;64;2021-01-27;9;64
01;69;2021-01-12;2;2
01;69;2021-01-14;4;6
01;69;2021-01-15;4;10
01;69;2021-01-18;3;13
01;69;2021-01-19;5;18
01;69;2021-01-20;5;23
01;69;2021-01-21;7;30
01;69;2021-01-22;3;33
01;69;2021-01-25;7;40
01;69;2021-01-26;3;43
01;69;2021-01-27;14;57
01;74;2021-01-12;1;1
01;74;2021-01-15;1;2
01;74;2021-01-18;4;6
01;74;2021-01-19;5;11
01;74;2021-01-20;1;12
01;74;2021-01-21;6;18
01;74;2021-01-22;5;23
01;74;2021-01-25;12;35
01;74;2021-01-26;8;43
01;74;2021-01-27;11;54
01;79;2021-01-15;3;3
01;79;2021-01-18;3;6
01;79;2021-01-19;7;13
01;79;2021-01-20;8;21
01;79;2021-01-21;5;26
01;79;2021-01-22;6;32
01;79;2021-01-25;13;45
01;79;2021-01-26;16;61
01;79;2021-01-27;19;80
01;80;2021-01-13;6;6
01;80;2021-01-14;1;7
01;80;2021-01-15;1;8
01;80;2021-01-18;4;12
01;80;2021-01-19;9;21
