dep;jour;n_dose1;n_cum_dose1
01;2021-01-06;1;1
01;2021-01-07;65;66
01;2021-01-08;159;225
01;2021-01-09;2;227
01;2021-01-11;134;361
01;2021-01-12;273;634
01;2021-01-13;416;1050
01;2021-01-14;465;1515
01;2021-01-15;388;1903
01;2021-01-16;197;2100
01;2021-01-17;125;2225
01;2021-01-18;337;2562
01;2021-01-19;950;3512
01;2021-01-20;1163;4675
01;2021-01-21;985;5660
01;2021-01-22;634;6294
01;2021-01-23;221;6515
01;2021-01-24;68;6583
01;2021-01-25;460;7043
01;2021-01-26;696;7739
01;2021-01-27;450;8189
02;2021-01-06;22;22
02;2021-01-07;260;282
02;2021-01-08;450;732
02;2021-01-09;72;804
02;2021-01-10;49;853
02;2021-01-11;244;1097
02;2021-01-12;346;1443
02;2021-01-13;437;1880
02;2021-01-14;594;2474
02;2021-01-15;619;3093
02;2021-01-16;326;3419
02;2021-01-17;60;3479
02;2021-01-18;801;4280
02;2021-01-19;936;5216
02;2021-01-20;1422;6638
02;2021-01-21;2499;9137
02;2021-01-22;1327;10464
02;2021-01-23;244;10708
02;2021-01-24;65;10773
02;2021-01-25;430;11203
02;2021-01-26;675;11878
02;2021-01-27;127;12005
03;2021-01-06;10;10
03;2021-01-07;60;70
03;2021-01-08;146;216
03;2021-01-09;112;328
03;2021-01-11;398;726
03;2021-01-12;609;1335
03;2021-01-13;644;1979
03;2021-01-14;830;2809
03;2021-01-15;293;3102
03;2021-01-16;277;3379
03;2021-01-17;42;3421
03;2021-01-18;861;4282
03;2021-01-19;1072;5354
03;2021-01-20;1254;6608
03;2021-01-21;1183;7791
03;2021-01-22;1051;8842
03;2021-01-23;464;9306
03;2021-01-25;185;9491
03;2021-01-26;679;10170
03;2021-01-27;677;10847
04;2021-01-05;4;4
04;2021-01-07;60;64
04;2021-01-08;87;151
04;2021-01-09;56;207
04;2021-01-11;45;252
04;2021-01-12;392;644
04;2021-01-13;231;875
04;2021-01-14;86;961
04;2021-01-15;141;1102
04;2021-01-16;103;1205
04;2021-01-17;8;1213
04;2021-01-18;231;1444
04;2021-01-19;459;1903
04;2021-01-20;563;2466
04;2021-01-21;601;3067
04;2021-01-22;619;3686
04;2021-01-23;109;3795
04;2021-01-25;238;4033
04;2021-01-26;644;4677
04;2021-01-27;472;5149
05;2021-01-06;20;20
05;2021-01-07;115;135
05;2021-01-08;126;261
05;2021-01-09;10;271
05;2021-01-11;36;307
05;2021-01-12;86;393
05;2021-01-13;103;496
05;2021-01-14;157;653
05;2021-01-15;88;741
05;2021-01-16;12;753
05;2021-01-18;196;949
05;2021-01-19;190;1139
05;2021-01-20;192;1331
05;2021-01-21;251;1582
05;2021-01-22;192;1774
05;2021-01-23;102;1876
05;2021-01-25;279;2155
05;2021-01-26;473;2628
05;2021-01-27;384;3012
06;2020-12-31;19;19
06;2021-01-04;115;134
06;2021-01-05;135;269
06;2021-01-06;155;424
06;2021-01-07;383;807
06;2021-01-08;303;1110
06;2021-01-09;90;1200
06;2021-01-10;1;1201
06;2021-01-11;496;1697
06;2021-01-12;1613;3310
06;2021-01-13;1148;4458
06;2021-01-14;1039;5497
06;2021-01-15;762;6259
06;2021-01-16;463;6722
06;2021-01-17;37;6759
06;2021-01-18;938;7697
06;2021-01-19;1292;8989
06;2021-01-20;1402;10391
06;2021-01-21;1389;11780
06;2021-01-22;1185;12965
06;2021-01-23;445;13410
06;2021-01-24;27;13437
06;2021-01-25;1028;14465
06;2021-01-26;1537;16002
06;2021-01-27;978;16980
07;2021-01-06;31;31
07;2021-01-07;81;112
07;2021-01-08;37;149
07;2021-01-09;16;165
07;2021-01-11;151;316
07;2021-01-12;296;612
07;2021-01-13;289;901
07;2021-01-14;330;1231
07;2021-01-15;163;1394
07;2021-01-16;17;1411
07;2021-01-17;2;1413
07;2021-01-18;308;1721
07;2021-01-19;613;2334
07;2021-01-20;477;2811
07;2021-01-21;335;3146
07;2021-01-22;157;3303
07;2021-01-23;56;3359
07;2021-01-25;80;3439
07;2021-01-26;401;3840
07;2021-01-27;471;4311
08;2021-01-07;157;157
08;2021-01-08;258;415
08;2021-01-09;113;528
08;2021-01-11;67;595
08;2021-01-12;126;721
08;2021-01-13;444;1165
08;2021-01-14;437;1602
08;2021-01-15;220;1822
08;2021-01-16;44;1866
08;2021-01-17;1;1867
08;2021-01-18;307;2174
08;2021-01-19;787;2961
08;2021-01-20;804;3765
08;2021-01-21;633;4398
08;2021-01-22;584;4982
08;2021-01-23;237;5219
08;2021-01-25;204;5423
08;2021-01-26;268;5691
08;2021-01-27;345;6036
09;2021-01-04;1;1
09;2021-01-06;2;3
09;2021-01-07;243;246
09;2021-01-08;180;426
09;2021-01-09;104;530
09;2021-01-10;59;589
09;2021-01-11;175;764
09;2021-01-12;299;1063
09;2021-01-13;195;1258
09;2021-01-14;432;1690
09;2021-01-15;221;1911
09;2021-01-16;193;2104
09;2021-01-17;123;2227
09;2021-01-18;230;2457
09;2021-01-19;252;2709
09;2021-01-20;316;3025
09;2021-01-21;330;3355
09;2021-01-22;328;3683
09;2021-01-23;236;3919
09;2021-01-24;83;4002
09;2021-01-25;202;4204
09;2021-01-26;533;4737
09;2021-01-27;385;5122
10;2021-01-07;63;63
10;2021-01-08;254;317
10;2021-01-11;114;431
10;2021-01-12;185;616
10;2021-01-13;313;929
10;2021-01-14;380;1309
10;2021-01-15;358;1667
10;2021-01-16;55;1722
10;2021-01-18;694;2416
10;2021-01-19;1136;3552
10;2021-01-20;1008;4560
10;2021-01-21;1075;5635
10;2021-01-22;816;6451
10;2021-01-23;308;6759
10;2021-01-25;443;7202
10;2021-01-26;486;7688
10;2021-01-27;454;8142
11;2021-01-05;93;93
11;2021-01-06;17;110
11;2021-01-07;109;219
11;2021-01-08;89;308
11;2021-01-09;76;384
11;2021-01-10;66;450
11;2021-01-11;135;585
11;2021-01-12;448;1033
11;2021-01-13;379;1412
11;2021-01-14;522;1934
11;2021-01-15;340;2274
11;2021-01-16;76;2350
11;2021-01-17;44;2394
11;2021-01-18;327;2721
11;2021-01-19;460;3181
11;2021-01-20;648;3829
11;2021-01-21;591;4420
11;2021-01-22;481;4901
11;2021-01-23;143;5044
11;2021-01-24;103;5147
11;2021-01-25;337;5484
11;2021-01-26;716;6200
11;2021-01-27;655;6855
12;2021-01-04;1;1
12;2021-01-06;13;14
12;2021-01-07;187;201
12;2021-01-08;49;250
12;2021-01-11;98;348
12;2021-01-12;317;665
12;2021-01-13;263;928
12;2021-01-14;552;1480
12;2021-01-15;352;1832
12;2021-01-16;129;1961
12;2021-01-18;402;2363
12;2021-01-19;582;2945
12;2021-01-20;819;3764
12;2021-01-21;710;4474
12;2021-01-22;766;5240
12;2021-01-23;380;5620
12;2021-01-25;423;6043
12;2021-01-26;545;6588
12;2021-01-27;1505;8093
13;2021-01-05;74;74
13;2021-01-06;113;187
13;2021-01-07;165;352
13;2021-01-08;161;513
13;2021-01-11;420;933
13;2021-01-12;703;1636
13;2021-01-13;987;2623
13;2021-01-14;1496;4119
13;2021-01-15;1355;5474
13;2021-01-16;377;5851
13;2021-01-17;24;5875
13;2021-01-18;2138;8013
13;2021-01-19;6634;14647
13;2021-01-20;4874;19521
13;2021-01-21;4847;24368
13;2021-01-22;3629;27997
13;2021-01-23;1318;29315
13;2021-01-24;477;29792
13;2021-01-25;2117;31909
13;2021-01-26;2760;34669
13;2021-01-27;2891;37560
14;2020-12-31;1;1
14;2021-01-05;10;11
14;2021-01-06;332;343
14;2021-01-07;361;704
14;2021-01-08;557;1261
14;2021-01-09;116;1377
14;2021-01-10;39;1416
14;2021-01-11;613;2029
14;2021-01-12;909;2938
14;2021-01-13;760;3698
14;2021-01-14;2565;6263
14;2021-01-15;1703;7966
14;2021-01-16;264;8230
14;2021-01-17;93;8323
14;2021-01-18;990;9313
14;2021-01-19;1080;10393
14;2021-01-20;1798;12191
14;2021-01-21;1685;13876
14;2021-01-22;1468;15344
14;2021-01-23;296;15640
14;2021-01-24;70;15710
14;2021-01-25;896;16606
14;2021-01-26;832;17438
14;2021-01-27;869;18307
15;2021-01-07;69;69
15;2021-01-08;99;168
15;2021-01-11;92;260
15;2021-01-12;91;351
15;2021-01-13;213;564
15;2021-01-14;278;842
15;2021-01-15;134;976
15;2021-01-16;90;1066
15;2021-01-18;379;1445
15;2021-01-19;506;1951
15;2021-01-20;566;2517
15;2021-01-21;529;3046
15;2021-01-22;486;3532
15;2021-01-23;432;3964
15;2021-01-24;6;3970
15;2021-01-25;385;4355
15;2021-01-26;416;4771
15;2021-01-27;630;5401
16;2021-01-04;1;1
16;2021-01-05;1;2
16;2021-01-06;83;85
16;2021-01-07;233;318
16;2021-01-08;394;712
16;2021-01-09;1;713
16;2021-01-11;252;965
16;2021-01-12;396;1361
16;2021-01-13;448;1809
16;2021-01-14;529;2338
16;2021-01-15;415;2753
16;2021-01-18;413;3166
16;2021-01-19;762;3928
16;2021-01-20;1066;4994
16;2021-01-21;1167;6161
16;2021-01-22;978;7139
16;2021-01-23;181;7320
16;2021-01-25;597;7917
16;2021-01-26;880;8797
16;2021-01-27;1329;10126
17;2021-01-04;54;54
17;2021-01-05;68;122
17;2021-01-06;128;250
17;2021-01-07;381;631
17;2021-01-08;333;964
17;2021-01-11;307;1271
17;2021-01-12;685;1956
17;2021-01-13;564;2520
17;2021-01-14;570;3090
17;2021-01-15;583;3673
17;2021-01-16;121;3794
17;2021-01-17;17;3811
17;2021-01-18;638;4449
17;2021-01-19;1672;6121
17;2021-01-20;2190;8311
17;2021-01-21;2349;10660
17;2021-01-22;1752;12412
17;2021-01-23;686;13098
17;2021-01-24;48;13146
17;2021-01-25;1325;14471
17;2021-01-26;1977;16448
17;2021-01-27;1547;17995
18;2021-01-04;3;3
18;2021-01-06;1;4
18;2021-01-07;25;29
18;2021-01-08;64;93
18;2021-01-09;222;315
18;2021-01-10;146;461
18;2021-01-11;170;631
18;2021-01-12;372;1003
18;2021-01-13;270;1273
18;2021-01-14;267;1540
18;2021-01-15;297;1837
18;2021-01-16;172;2009
18;2021-01-18;258;2267
18;2021-01-19;1277;3544
18;2021-01-20;1040;4584
18;2021-01-21;880;5464
18;2021-01-22;647;6111
18;2021-01-23;204;6315
18;2021-01-25;376;6691
18;2021-01-26;362;7053
18;2021-01-27;385;7438
19;2021-01-07;341;341
19;2021-01-08;246;587
19;2021-01-10;1;588
19;2021-01-11;37;625
19;2021-01-12;408;1033
19;2021-01-13;410;1443
19;2021-01-14;466;1909
19;2021-01-15;223;2132
19;2021-01-18;250;2382
19;2021-01-19;516;2898
19;2021-01-20;753;3651
19;2021-01-21;489;4140
19;2021-01-22;1282;5422
19;2021-01-23;280;5702
19;2021-01-24;36;5738
19;2021-01-25;225;5963
19;2021-01-26;600;6563
19;2021-01-27;319;6882
21;2020-12-27;4;4
21;2020-12-29;19;23
21;2020-12-30;20;43
21;2021-01-04;16;59
21;2021-01-05;247;306
21;2021-01-06;285;591
21;2021-01-07;379;970
21;2021-01-08;435;1405
21;2021-01-09;239;1644
21;2021-01-11;596;2240
21;2021-01-12;587;2827
21;2021-01-13;599;3426
21;2021-01-14;1034;4460
21;2021-01-15;665;5125
21;2021-01-16;159;5284
21;2021-01-17;4;5288
21;2021-01-18;1000;6288
21;2021-01-19;1083;7371
21;2021-01-20;1129;8500
21;2021-01-21;1304;9804
21;2021-01-22;954;10758
21;2021-01-23;427;11185
21;2021-01-24;103;11288
21;2021-01-25;669;11957
21;2021-01-26;1228;13185
21;2021-01-27;1628;14813
22;2021-01-02;1;1
22;2021-01-04;3;4
22;2021-01-05;61;65
22;2021-01-06;112;177
22;2021-01-07;62;239
22;2021-01-08;170;409
22;2021-01-11;232;641
22;2021-01-12;577;1218
22;2021-01-13;651;1869
22;2021-01-14;645;2514
22;2021-01-15;479;2993
22;2021-01-16;94;3087
22;2021-01-17;1;3088
22;2021-01-18;302;3390
22;2021-01-19;635;4025
22;2021-01-20;582;4607
22;2021-01-21;901;5508
22;2021-01-22;765;6273
22;2021-01-23;218;6491
22;2021-01-24;1;6492
22;2021-01-25;738;7230
22;2021-01-26;933;8163
22;2021-01-27;3078;11241
23;2021-01-06;1;1
23;2021-01-07;95;96
23;2021-01-08;86;182
23;2021-01-09;33;215
23;2021-01-10;1;216
23;2021-01-11;106;322
23;2021-01-12;161;483
23;2021-01-13;253;736
23;2021-01-14;258;994
23;2021-01-15;304;1298
23;2021-01-16;135;1433
23;2021-01-18;333;1766
23;2021-01-19;422;2188
23;2021-01-20;335;2523
23;2021-01-21;561;3084
23;2021-01-22;361;3445
23;2021-01-23;366;3811
23;2021-01-25;352;4163
23;2021-01-26;241;4404
23;2021-01-27;149;4553
24;2020-12-29;2;2
24;2021-01-07;190;192
24;2021-01-08;277;469
24;2021-01-09;185;654
24;2021-01-10;35;689
24;2021-01-11;270;959
24;2021-01-12;280;1239
24;2021-01-13;232;1471
24;2021-01-14;984;2455
24;2021-01-15;586;3041
24;2021-01-16;86;3127
24;2021-01-18;298;3425
24;2021-01-19;458;3883
24;2021-01-20;487;4370
24;2021-01-21;608;4978
24;2021-01-22;504;5482
24;2021-01-23;149;5631
24;2021-01-25;380;6011
24;2021-01-26;516;6527
24;2021-01-27;903;7430
25;2021-01-06;73;73
25;2021-01-07;233;306
25;2021-01-08;317;623
25;2021-01-09;103;726
25;2021-01-11;464;1190
25;2021-01-12;625;1815
25;2021-01-13;572;2387
25;2021-01-14;778;3165
25;2021-01-15;653;3818
25;2021-01-16;196;4014
25;2021-01-17;111;4125
25;2021-01-18;1016;5141
25;2021-01-19;1212;6353
25;2021-01-20;1384;7737
25;2021-01-21;1682;9419
25;2021-01-22;1386;10805
25;2021-01-23;477;11282
25;2021-01-24;118;11400
25;2021-01-25;862;12262
25;2021-01-26;1342;13604
25;2021-01-27;1176;14780
26;2021-01-07;122;122
26;2021-01-08;122;244
26;2021-01-11;254;498
26;2021-01-12;172;670
26;2021-01-13;379;1049
26;2021-01-14;459;1508
26;2021-01-15;556;2064
26;2021-01-16;250;2314
26;2021-01-18;615;2929
26;2021-01-19;713;3642
26;2021-01-20;697;4339
26;2021-01-21;665;5004
26;2021-01-22;745;5749
26;2021-01-23;564;6313
26;2021-01-24;24;6337
26;2021-01-25;678;7015
26;2021-01-26;795;7810
26;2021-01-27;732;8542
27;2021-01-05;15;15
27;2021-01-06;159;174
27;2021-01-07;345;519
27;2021-01-08;356;875
27;2021-01-09;70;945
27;2021-01-10;100;1045
27;2021-01-11;306;1351
27;2021-01-12;390;1741
27;2021-01-13;717;2458
27;2021-01-14;1287;3745
27;2021-01-15;1123;4868
27;2021-01-16;329;5197
27;2021-01-17;203;5400
27;2021-01-18;757;6157
27;2021-01-19;736;6893
27;2021-01-20;843;7736
27;2021-01-21;604;8340
27;2021-01-22;771;9111
27;2021-01-23;348;9459
27;2021-01-24;163;9622
27;2021-01-25;620;10242
27;2021-01-26;452;10694
27;2021-01-27;476;11170
28;2021-01-05;5;5
28;2021-01-06;83;88
28;2021-01-07;87;175
28;2021-01-08;125;300
28;2021-01-09;77;377
28;2021-01-10;1;378
28;2021-01-11;195;573
28;2021-01-12;248;821
28;2021-01-13;347;1168
28;2021-01-14;441;1609
28;2021-01-15;372;1981
28;2021-01-16;204;2185
28;2021-01-17;21;2206
28;2021-01-18;359;2565
28;2021-01-19;492;3057
28;2021-01-20;633;3690
28;2021-01-21;771;4461
28;2021-01-22;473;4934
28;2021-01-23;344;5278
28;2021-01-25;421;5699
28;2021-01-26;598;6297
28;2021-01-27;1038;7335
29;2021-01-04;30;30
29;2021-01-05;30;60
29;2021-01-06;42;102
29;2021-01-07;127;229
29;2021-01-08;404;633
29;2021-01-09;1;634
29;2021-01-11;621;1255
29;2021-01-12;1080;2335
29;2021-01-13;1017;3352
29;2021-01-14;772;4124
29;2021-01-15;1142;5266
29;2021-01-16;168;5434
29;2021-01-17;111;5545
29;2021-01-18;780;6325
29;2021-01-19;1207;7532
29;2021-01-20;2074;9606
29;2021-01-21;4596;14202
29;2021-01-22;3405;17607
29;2021-01-23;502;18109
29;2021-01-24;199;18308
29;2021-01-25;564;18872
29;2021-01-26;919;19791
29;2021-01-27;1251;21042
2A;2021-01-06;5;5
2A;2021-01-07;121;126
2A;2021-01-08;91;217
2A;2021-01-09;39;256
2A;2021-01-10;33;289
2A;2021-01-11;49;338
2A;2021-01-12;74;412
2A;2021-01-13;92;504
2A;2021-01-14;174;678
2A;2021-01-15;137;815
2A;2021-01-16;155;970
2A;2021-01-17;51;1021
2A;2021-01-18;192;1213
2A;2021-01-19;459;1672
2A;2021-01-20;341;2013
2A;2021-01-21;438;2451
2A;2021-01-22;362;2813
2A;2021-01-23;183;2996
2A;2021-01-24;115;3111
2A;2021-01-25;179;3290
2A;2021-01-26;388;3678
2A;2021-01-27;310;3988
2B;2021-01-04;2;2
2B;2021-01-06;48;50
2B;2021-01-07;205;255
2B;2021-01-08;189;444
2B;2021-01-09;37;481
2B;2021-01-11;74;555
2B;2021-01-12;122;677
2B;2021-01-13;93;770
2B;2021-01-14;72;842
2B;2021-01-15;222;1064
2B;2021-01-16;40;1104
2B;2021-01-17;8;1112
2B;2021-01-18;268;1380
2B;2021-01-19;423;1803
2B;2021-01-20;456;2259
2B;2021-01-21;350;2609
2B;2021-01-22;339;2948
2B;2021-01-23;58;3006
2B;2021-01-24;29;3035
2B;2021-01-25;175;3210
2B;2021-01-26;383;3593
2B;2021-01-27;305;3898
30;2021-01-05;2;2
30;2021-01-06;126;128
30;2021-01-07;310;438
30;2021-01-08;528;966
30;2021-01-09;268;1234
30;2021-01-11;537;1771
30;2021-01-12;686;2457
30;2021-01-13;586;3043
30;2021-01-14;618;3661
30;2021-01-15;711;4372
30;2021-01-16;312;4684
30;2021-01-18;903;5587
30;2021-01-19;1636;7223
30;2021-01-20;1219;8442
30;2021-01-21;1206;9648
30;2021-01-22;1022;10670
30;2021-01-23;617;11287
30;2021-01-25;821;12108
30;2021-01-26;983;13091
30;2021-01-27;894;13985
31;2021-01-03;1;1
31;2021-01-04;2;3
31;2021-01-05;47;50
31;2021-01-06;206;256
31;2021-01-07;283;539
31;2021-01-08;537;1076
31;2021-01-09;267;1343
31;2021-01-10;281;1624
31;2021-01-11;821;2445
31;2021-01-12;1145;3590
31;2021-01-13;1097;4687
31;2021-01-14;1153;5840
31;2021-01-15;1011;6851
31;2021-01-16;239;7090
31;2021-01-17;133;7223
31;2021-01-18;1480;8703
31;2021-01-19;2741;11444
31;2021-01-20;3433;14877
31;2021-01-21;2731;17608
31;2021-01-22;2041;19649
31;2021-01-23;688;20337
31;2021-01-24;194;20531
31;2021-01-25;1657;22188
31;2021-01-26;1750;23938
31;2021-01-27;1449;25387
32;2021-01-04;2;2
32;2021-01-05;1;3
32;2021-01-06;2;5
32;2021-01-07;139;144
32;2021-01-08;69;213
32;2021-01-09;5;218
32;2021-01-11;7;225
32;2021-01-12;94;319
32;2021-01-13;309;628
32;2021-01-14;380;1008
32;2021-01-15;409;1417
32;2021-01-16;16;1433
32;2021-01-17;1;1434
32;2021-01-18;340;1774
32;2021-01-19;342;2116
32;2021-01-20;357;2473
32;2021-01-21;580;3053
32;2021-01-22;370;3423
32;2021-01-23;189;3612
32;2021-01-24;3;3615
32;2021-01-25;455;4070
32;2021-01-26;595;4665
32;2021-01-27;682;5347
33;2021-01-04;1;1
33;2021-01-06;119;120
33;2021-01-07;1236;1356
33;2021-01-08;1156;2512
33;2021-01-09;292;2804
33;2021-01-10;227;3031
33;2021-01-11;556;3587
33;2021-01-12;1340;4927
33;2021-01-13;1203;6130
33;2021-01-14;1163;7293
33;2021-01-15;1447;8740
33;2021-01-16;557;9297
33;2021-01-17;387;9684
33;2021-01-18;1096;10780
33;2021-01-19;2800;13580
33;2021-01-20;3148;16728
33;2021-01-21;2677;19405
33;2021-01-22;2236;21641
