reg;jour;n_dose1;n_cum_dose1
01;2021-01-12;20;20
01;2021-01-13;6;26
01;2021-01-14;24;50
01;2021-01-15;24;74
01;2021-01-18;29;103
01;2021-01-19;48;151
01;2021-01-20;42;193
01;2021-01-21;56;249
01;2021-01-22;35;284
01;2021-01-25;68;352
01;2021-01-26;61;413
01;2021-01-27;109;522
02;2021-01-06;5;5
02;2021-01-07;30;35
02;2021-01-08;76;111
02;2021-01-09;20;131
02;2021-01-11;111;242
02;2021-01-12;75;317
02;2021-01-13;59;376
02;2021-01-14;80;456
02;2021-01-15;118;574
02;2021-01-16;49;623
02;2021-01-18;145;768
02;2021-01-19;123;891
02;2021-01-20;156;1047
02;2021-01-21;161;1208
02;2021-01-22;147;1355
02;2021-01-23;56;1411
02;2021-01-25;146;1557
02;2021-01-26;111;1668
02;2021-01-27;154;1822
03;2021-01-13;29;29
03;2021-01-14;46;75
03;2021-01-15;34;109
03;2021-01-16;17;126
03;2021-01-18;61;187
03;2021-01-19;141;328
03;2021-01-20;119;447
03;2021-01-21;107;554
03;2021-01-22;63;617
03;2021-01-25;56;673
03;2021-01-26;96;769
03;2021-01-27;103;872
04;2021-01-05;1;1
04;2021-01-15;125;126
04;2021-01-16;20;146
04;2021-01-18;49;195
04;2021-01-19;366;561
04;2021-01-20;347;908
04;2021-01-21;510;1418
04;2021-01-22;370;1788
04;2021-01-23;72;1860
04;2021-01-25;233;2093
04;2021-01-26;339;2432
04;2021-01-27;248;2680
06;2021-01-25;49;49
06;2021-01-26;34;83
06;2021-01-27;90;173
07;2021-01-18;1;1
11;2020-12-27;9;9
11;2020-12-29;19;28
11;2020-12-30;63;91
11;2020-12-31;36;127
11;2021-01-01;9;136
11;2021-01-02;40;176
11;2021-01-03;72;248
11;2021-01-04;519;767
11;2021-01-05;1656;2423
11;2021-01-06;2306;4729
11;2021-01-07;3922;8651
11;2021-01-08;5065;13716
11;2021-01-09;1716;15432
11;2021-01-10;1550;16982
11;2021-01-11;4900;21882
11;2021-01-12;6545;28427
11;2021-01-13;6422;34849
11;2021-01-14;7101;41950
11;2021-01-15;5949;47899
11;2021-01-16;1561;49460
11;2021-01-17;624;50084
11;2021-01-18;9763;59847
11;2021-01-19;13282;73129
11;2021-01-20;15298;88427
11;2021-01-21;18357;106784
