dep;sexe;jour;n_dose1;n_cum_dose1
01;0;2021-01-06;1;1
01;0;2021-01-07;65;66
01;0;2021-01-08;159;225
01;0;2021-01-09;2;227
01;0;2021-01-11;134;361
01;0;2021-01-12;273;634
01;0;2021-01-13;416;1050
01;0;2021-01-14;465;1515
01;0;2021-01-15;388;1903
01;0;2021-01-16;197;2100
01;0;2021-01-17;125;2225
01;0;2021-01-18;337;2562
01;0;2021-01-19;950;3512
01;0;2021-01-20;1163;4675
01;0;2021-01-21;985;5660
01;0;2021-01-22;634;6294
01;0;2021-01-23;221;6515
01;0;2021-01-24;68;6583
01;0;2021-01-25;460;7043
01;0;2021-01-26;696;7739
01;0;2021-01-27;450;8189
01;1;2021-01-07;17;17
01;1;2021-01-08;62;79
01;1;2021-01-11;55;134
01;1;2021-01-12;91;225
01;1;2021-01-13;148;373
01;1;2021-01-14;186;559
01;1;2021-01-15;138;697
01;1;2021-01-16;81;778
01;1;2021-01-17;54;832
01;1;2021-01-18;160;992
01;1;2021-01-19;340;1332
01;1;2021-01-20;507;1839
01;1;2021-01-21;350;2189
01;1;2021-01-22;274;2463
01;1;2021-01-23;100;2563
01;1;2021-01-24;36;2599
01;1;2021-01-25;190;2789
01;1;2021-01-26;262;3051
01;1;2021-01-27;177;3228
01;2;2021-01-06;1;1
01;2;2021-01-07;48;49
01;2;2021-01-08;97;146
01;2;2021-01-09;2;148
01;2;2021-01-11;79;227
01;2;2021-01-12;182;409
01;2;2021-01-13;268;677
01;2;2021-01-14;279;956
01;2;2021-01-15;250;1206
01;2;2021-01-16;116;1322
01;2;2021-01-17;71;1393
01;2;2021-01-18;177;1570
01;2;2021-01-19;610;2180
01;2;2021-01-20;655;2835
01;2;2021-01-21;634;3469
01;2;2021-01-22;360;3829
01;2;2021-01-23;120;3949
01;2;2021-01-24;32;3981
01;2;2021-01-25;270;4251
01;2;2021-01-26;433;4684
01;2;2021-01-27;271;4955
02;0;2021-01-06;22;22
02;0;2021-01-07;260;282
02;0;2021-01-08;450;732
02;0;2021-01-09;72;804
02;0;2021-01-10;49;853
02;0;2021-01-11;244;1097
02;0;2021-01-12;346;1443
02;0;2021-01-13;437;1880
02;0;2021-01-14;594;2474
02;0;2021-01-15;619;3093
02;0;2021-01-16;326;3419
02;0;2021-01-17;60;3479
02;0;2021-01-18;801;4280
02;0;2021-01-19;936;5216
02;0;2021-01-20;1422;6638
02;0;2021-01-21;2499;9137
02;0;2021-01-22;1327;10464
02;0;2021-01-23;244;10708
02;0;2021-01-24;65;10773
02;0;2021-01-25;430;11203
02;0;2021-01-26;675;11878
02;0;2021-01-27;127;12005
02;1;2021-01-06;10;10
02;1;2021-01-07;101;111
02;1;2021-01-08;185;296
02;1;2021-01-09;30;326
02;1;2021-01-10;22;348
02;1;2021-01-11;91;439
02;1;2021-01-12;128;567
02;1;2021-01-13;177;744
02;1;2021-01-14;210;954
02;1;2021-01-15;227;1181
02;1;2021-01-16;149;1330
02;1;2021-01-17;29;1359
02;1;2021-01-18;335;1694
02;1;2021-01-19;360;2054
02;1;2021-01-20;539;2593
02;1;2021-01-21;882;3475
02;1;2021-01-22;537;4012
02;1;2021-01-23;101;4113
02;1;2021-01-24;21;4134
02;1;2021-01-25;190;4324
02;1;2021-01-26;301;4625
02;1;2021-01-27;63;4688
02;2;2021-01-06;12;12
02;2;2021-01-07;159;171
02;2;2021-01-08;265;436
02;2;2021-01-09;42;478
02;2;2021-01-10;27;505
02;2;2021-01-11;153;658
02;2;2021-01-12;218;876
02;2;2021-01-13;259;1135
02;2;2021-01-14;384;1519
02;2;2021-01-15;392;1911
02;2;2021-01-16;175;2086
02;2;2021-01-17;31;2117
02;2;2021-01-18;465;2582
02;2;2021-01-19;576;3158
02;2;2021-01-20;882;4040
02;2;2021-01-21;1616;5656
02;2;2021-01-22;790;6446
02;2;2021-01-23;143;6589
02;2;2021-01-24;44;6633
02;2;2021-01-25;239;6872
02;2;2021-01-26;373;7245
02;2;2021-01-27;64;7309
03;0;2021-01-06;10;10
03;0;2021-01-07;60;70
03;0;2021-01-08;146;216
03;0;2021-01-09;112;328
03;0;2021-01-11;398;726
03;0;2021-01-12;609;1335
03;0;2021-01-13;644;1979
03;0;2021-01-14;830;2809
03;0;2021-01-15;293;3102
03;0;2021-01-16;277;3379
03;0;2021-01-17;42;3421
03;0;2021-01-18;861;4282
03;0;2021-01-19;1072;5354
03;0;2021-01-20;1254;6608
03;0;2021-01-21;1183;7791
03;0;2021-01-22;1051;8842
03;0;2021-01-23;464;9306
03;0;2021-01-25;185;9491
03;0;2021-01-26;679;10170
03;0;2021-01-27;677;10847
03;1;2021-01-06;3;3
03;1;2021-01-07;32;35
03;1;2021-01-08;49;84
03;1;2021-01-09;32;116
03;1;2021-01-11;183;299
03;1;2021-01-12;206;505
03;1;2021-01-13;217;722
03;1;2021-01-14;267;989
03;1;2021-01-15;114;1103
03;1;2021-01-16;159;1262
03;1;2021-01-17;9;1271
03;1;2021-01-18;338;1609
03;1;2021-01-19;464;2073
03;1;2021-01-20;493;2566
03;1;2021-01-21;494;3060
03;1;2021-01-22;452;3512
03;1;2021-01-23;206;3718
03;1;2021-01-25;72;3790
03;1;2021-01-26;306;4096
03;1;2021-01-27;288;4384
03;2;2021-01-06;7;7
03;2;2021-01-07;28;35
03;2;2021-01-08;97;132
03;2;2021-01-09;80;212
03;2;2021-01-11;215;427
03;2;2021-01-12;403;830
03;2;2021-01-13;427;1257
03;2;2021-01-14;562;1819
03;2;2021-01-15;179;1998
03;2;2021-01-16;118;2116
03;2;2021-01-17;33;2149
03;2;2021-01-18;523;2672
03;2;2021-01-19;608;3280
03;2;2021-01-20;761;4041
03;2;2021-01-21;689;4730
03;2;2021-01-22;599;5329
