reg;sexe;jour;n_dose1;n_cum_dose1
01;0;2021-01-12;20;20
01;0;2021-01-13;6;26
01;0;2021-01-14;24;50
01;0;2021-01-15;24;74
01;0;2021-01-18;29;103
01;0;2021-01-19;48;151
01;0;2021-01-20;42;193
01;0;2021-01-21;56;249
01;0;2021-01-22;35;284
01;0;2021-01-25;68;352
01;0;2021-01-26;61;413
01;0;2021-01-27;109;522
01;1;2021-01-12;14;14
01;1;2021-01-13;3;17
01;1;2021-01-14;12;29
01;1;2021-01-15;14;43
01;1;2021-01-18;16;59
01;1;2021-01-19;24;83
01;1;2021-01-20;16;99
01;1;2021-01-21;24;123
01;1;2021-01-22;13;136
01;1;2021-01-25;48;184
01;1;2021-01-26;30;214
01;1;2021-01-27;47;261
01;2;2021-01-12;6;6
01;2;2021-01-13;3;9
01;2;2021-01-14;12;21
01;2;2021-01-15;10;31
01;2;2021-01-18;13;44
01;2;2021-01-19;24;68
01;2;2021-01-20;26;94
01;2;2021-01-21;32;126
01;2;2021-01-22;22;148
01;2;2021-01-25;20;168
01;2;2021-01-26;31;199
01;2;2021-01-27;62;261
02;0;2021-01-06;5;5
02;0;2021-01-07;30;35
02;0;2021-01-08;76;111
02;0;2021-01-09;20;131
02;0;2021-01-11;111;242
02;0;2021-01-12;75;317
02;0;2021-01-13;59;376
02;0;2021-01-14;80;456
02;0;2021-01-15;118;574
02;0;2021-01-16;49;623
02;0;2021-01-18;145;768
02;0;2021-01-19;123;891
02;0;2021-01-20;156;1047
02;0;2021-01-21;161;1208
02;0;2021-01-22;147;1355
02;0;2021-01-23;56;1411
02;0;2021-01-25;146;1557
02;0;2021-01-26;111;1668
02;0;2021-01-27;154;1822
02;1;2021-01-06;2;2
02;1;2021-01-07;19;21
02;1;2021-01-08;39;60
02;1;2021-01-09;12;72
02;1;2021-01-11;47;119
02;1;2021-01-12;37;156
02;1;2021-01-13;31;187
02;1;2021-01-14;38;225
02;1;2021-01-15;59;284
02;1;2021-01-16;29;313
02;1;2021-01-18;76;389
02;1;2021-01-19;62;451
02;1;2021-01-20;80;531
02;1;2021-01-21;77;608
02;1;2021-01-22;79;687
02;1;2021-01-23;30;717
02;1;2021-01-25;70;787
02;1;2021-01-26;52;839
02;1;2021-01-27;82;921
02;2;2021-01-06;3;3
02;2;2021-01-07;11;14
02;2;2021-01-08;37;51
02;2;2021-01-09;8;59
02;2;2021-01-11;64;123
02;2;2021-01-12;38;161
02;2;2021-01-13;28;189
